V_TRI_SUBMISSION_NAICS.INDUSTRY_CODE,V_TRI_SUBMISSION_NAICS.INDUSTRY_DESCRIPTION,V_TRI_SUBMISSION_NAICS.NAICS_CODES,TRI_FACILITY.TRI_FACILITY_ID,TRI_FACILITY.STATE_ABBR,V_TRI_FORM_R_BR_EZ.TRI_FACILITY_ID,V_TRI_FORM_R_BR_EZ.REPORTING_YEAR,V_TRI_FORM_R_BR_EZ.STATE_ABBR,V_TRI_FORM_R_BR_EZ.AIR_TOTAL_RELEASE,V_TRI_FORM_R_BR_EZ.INDUSTRY_CODE,V_TRI_FORM_R_BR_EZ.LAND_TOTAL_RELEASE,V_TRI_FORM_R_BR_EZ.TOTAL_OFF_SITE_RELEASE,V_TRI_FORM_R_BR_EZ.TOTAL_ON_OFF_SITE_RELEASE,V_TRI_FORM_R_BR_EZ.TOTAL_ON_SITE_RELEASE,V_TRI_FORM_R_BR_EZ.UNINJ_TOTAL_RELEASE,V_TRI_FORM_R_BR_EZ.WATER_TOTAL_RELEASE,V_TRI_FORM_R_BR_EZ.PRIMARY_NAICS_CODE
334,Computers and Electronic Products,334412,49913CLMTL25830,MI,49913CLMTL25830,2015,MI,0,334,0,.1,.1,0,0,0,334412
325,Chemicals,325180325199,43223GFRDR867MC,OH,43223GFRDR867MC,2015,OH,3285,325,0,0,3285,3285,0,0,325180
325,Chemicals,325180325199,43223GFRDR867MC,OH,43223GFRDR867MC,2015,OH,0,325,0,47000,47000,0,0,0,325180
324,Petroleum,324110,55164KCHRFPOBOX,MN,55164KCHRFPOBOX,2015,MN,251,324,0,1207.8724,1480.8724,273,0,22,324110
325,Chemicals,325510,47353DLNDS215BR,IN,47353DLNDS215BR,2015,IN,2593,325,0,0,2593,2593,0,0,325510
324,Petroleum,324199,46312NDNHR3210W,IN,46312NDNHR3210W,2015,IN,142001.06,324,0,0,142001.06,142001.06,0,0,324199
327,Nonmetallic Mineral Product,327320,6041WWLLBR225SA,IL,6041WWLLBR225SA,2015,IL,0,327,0,0,0,0,0,0,327320
331,Primary Metals,331210,4715WPDGTT91E4T,IN,4715WPDGTT91E4T,2015,IN,76,331,0,0,76,76,0,0,331210
334,Computers and Electronic Products,334418,55128YRSHR71555,MN,55128YRSHR71555,2015,MN,1,334,0,0,1,1,0,0,334418
321,Wood Products,321219,49738WYRHS4111E,MI,49738WYRHS4111E,2015,MI,21,321,0,0,21,21,0,0,321219
