NAICScode,AnnualPayroll,FirstQtrPayroll,State,GeographicIdentifierCode,Id2,ManufacturingSector,NumberOfRecords,NumberOfEstablishments,PaidEmployees,Year
316,75902,23234,Minnesota,0400000US27,27,Leather and allied product manufacturing,1,22,1338,2015
333,2133976,533713,Minnesota,0400000US27,27,Machinery manufacturing,1,778,34072,2015
339,1409111,386593,Minnesota,0400000US27,27,Miscellaneous manufacturing,1,743,21141,2015
327,566588,115259,Minnesota,0400000US27,27,Nonmetallic mineral product manufacturing,1,325,10006,2015
322,649525,157213,Minnesota,0400000US27,27,Paper manufacturing,1,107,10251,2015
324,259296,71171,Minnesota,0400000US27,27,Petroleum and coal products manufacturing,1,21,2298,2015
326,720480,179942,Minnesota,0400000US27,27,Plastics and rubber products manufacturing,1,333,14258,2015
331,339771,85377,Minnesota,0400000US27,27,Primary metal manufacturing,1,90,6356,2015
323,1207539,290770,Minnesota,0400000US27,27,Printing and related support activities,1,693,23548,2015
313,17009,4058,Minnesota,0400000US27,27,Textile mills,1,20,423,2015
314,47591,11887,Minnesota,0400000US27,27,Textile product mills,1,133,1506,2015
336,582541,139840,Minnesota,0400000US27,27,Transportation equipment manufacturing,1,193,12979,2015
321,584571,136947,Minnesota,0400000US27,27,Wood product manufacturing,1,326,12006,2015
315,23084,4140,Ohio,0400000US39,39,Apparel manufacturing,1,76,644,2015
312,254374,55230,Ohio,0400000US39,39,Beverage and tobacco product manufacturing,1,181,4897,2015
325,2721070,676634,Ohio,0400000US39,39,Chemical manufacturing,1,673,38280,2015
334,1570908,393355,Ohio,0400000US39,39,Computer and electronic product manufacturing,1,428,22353,2015
335,1247262,308098,Ohio,0400000US39,39,"Electrical equipment, appliance, and component manufacturing",1,278,23404,2015
332,5352374,1329654,Ohio,0400000US39,39,Fabricated metal product manufacturing,1,3507,103590,2015
311,2531624,608370,Ohio,0400000US39,39,Food manufacturing,1,886,60496,2015
337,583309,138067,Ohio,0400000US39,39,Furniture and related product manufacturing,1,611,13999,2015
316,35634,8663,Ohio,0400000US39,39,Leather and allied product manufacturing,1,39,1275,2015
333,4415208,1101420,Ohio,0400000US39,39,Machinery manufacturing,1,1601,74193,2015
339,1101979,266211,Ohio,0400000US39,39,Miscellaneous manufacturing,1,942,22845,2015
327,1114654,256750,Ohio,0400000US39,39,Nonmetallic mineral product manufacturing,1,640,21757,2015
322,1035975,255671,Ohio,0400000US39,39,Paper manufacturing,1,297,18718,2015
324,489590,123332,Ohio,0400000US39,39,Petroleum and coal products manufacturing,1,152,5403,2015
326,2975387,727493,Ohio,0400000US39,39,Plastics and rubber products manufacturing,1,895,65881,2015
331,2533008,679601,Ohio,0400000US39,39,Primary metal manufacturing,1,382,41154,2015
323,1020782,243061,Ohio,0400000US39,39,Printing and related support activities,1,1093,22381,2015
313,46118,11203,Ohio,0400000US39,39,Textile mills,1,47,1047,2015
314,106676,24259,Ohio,0400000US39,39,Textile product mills,1,192,2877,2015
336,6784941,1779804,Ohio,0400000US39,39,Transportation equipment manufacturing,1,669,107991,2015
321,380471,88212,Ohio,0400000US39,39,Wood product manufacturing,1,550,10699,2015
